VIN110,County,City,State,PostalCode,ModelYear,Make,Model,VehicleType,CAFVEligibility,ElectricRange,BaseMSRP,LegislativeDistrict,DOLVehicleID,ElectricUtility,CensusTract,Latitude,Longitude
1N4AZ1CP0,King,Bellevue,WA,95853,2020,Tesla,Model 3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,152.0,0,12,227847850,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,46.38216297368229,-121.08875734224121
1N4AZ1CP1,King,Seattle,WA,90880,2022,Audi,Q4 e-tron,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,136.0,0,12,340158763,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,46.50829916547514,-121.00311176068111
1N4AZ1CP2,King,Bellevue,WA,99351,2021,Nissan,Ariya,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,188.0,0,26,294734344,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,47.93293584132446,-121.19303607002986
1N4AZ1CP3,King,Bellevue,WA,98694,2024,Ford,Mustang Mach-E,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,273.0,0,32,444710113,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,47.015640636056986,-122.12334302163431
1N4AZ1CP4,Multnomah,Portland,WA,93258,2024,Ford,F-150 Lightning,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,58.0,0,15,810665151,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,47.355886678737654,-122.31212611931461
1N4AZ1CP5,King,Seattle,WA,96231,2020,Nissan,Ariya,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,284.0,0,23,526107255,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,47.733224019652496,-122.23652059759266
1N4AZ1CP6,King,Bellevue,WA,91986,2024,Chevrolet,Bolt EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,225.0,0,19,299145284,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,47.2669839685935,-122.73369902816347
1N4AZ1CP7,King,Bellevue,WA,99633,2021,Ford,F-150 Lightning,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,90.0,0,43,102994065,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,46.88657534213226,-122.00963468849682
1N4AZ1CP8,King,Seattle,WA,95386,2022,Ford,Mustang Mach-E,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,92.0,0,7,576582262,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,47.110065029432974,-121.97301344735493
1N4AZ1CP9,Multnomah,Portland,WA,91302,2016,Tesla,Model S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,132.0,0,8,977391303,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,47.04784273618961,-121.73270775657247
1N4AZ1CP10,King,Seattle,WA,98844,2022,Tesla,Model X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,136.0,0,7,867937335,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,46.74232242750325,-122.46582436486001
1N4AZ1CP11,King,Seattle,WA,90614,2024,Tesla,Model S,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,152.0,0,40,244123328,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,47.627848703396616,-121.54978712555557
1N4AZ1CP12,San Francisco,San Francisco,WA,92310,2018,Ford,F-150 Lightning,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,230.0,0,23,594370539,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,47.531256827544276,-121.7439045004812
1N4AZ1CP13,Los Angeles,Los Angeles,WA,90047,2024,Audi,Q4 e-tron,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,230.0,0,47,757148060,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,47.67127741287882,-121.86229270781986
1N4AZ1CP14,King,Bellevue,WA,97260,2022,Nissan,Leaf,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,296.0,0,25,938658939,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,46.62728123329786,-121.36683627056289
1N4AZ1CP15,Multnomah,Portland,WA,93189,2021,Ford,Mustang Mach-E,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,115.0,0,2,208252189,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,46.151220845313716,-122.38139809023528
1N4AZ1CP16,Los Angeles,Los Angeles,WA,90284,2019,Ford,F-150 Lightning,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,83.0,0,28,955251113,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,47.30176064238409,-121.1938810268022
1N4AZ1CP17,San Francisco,San Francisco,WA,99242,2015,Tesla,Model S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,98.0,0,45,544651182,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,47.94155367048693,-121.67619679324349
1N4AZ1CP18,San Francisco,San Francisco,WA,91752,2023,Nissan,Ariya,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,132.0,0,25,730549042,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,47.2962122720728,-122.93380295959466
1N4AZ1CP19,Los Angeles,Los Angeles,WA,97680,2020,Chevrolet,Bolt EV,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,92.0,0,8,995374119,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,46.569446827000434,-121.75852674872314
1N4AZ1CP20,San Francisco,San Francisco,WA,90271,2019,Chevrolet,Volt,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,128.0,0,36,680532637,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,46.72175669711339,-121.67388251029972
1N4AZ1CP21,San Francisco,San Francisco,WA,92841,2019,Nissan,Ariya,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,289.0,0,7,411322327,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,46.54017132178703,-121.13604137200772
1N4AZ1CP22,San Francisco,San Francisco,WA,98257,2019,Chevrolet,Volt,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,58.0,0,1,738973478,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,47.83525123231531,-122.93532015477452
1N4AZ1CP23,Los Angeles,Los Angeles,WA,96307,2021,Chevrolet,Volt,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,83.0,0,48,919686609,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,46.63395814228669,-121.12763684385013
1N4AZ1CP24,Multnomah,Portland,WA,90867,2021,Audi,Q4 e-tron,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,174.0,0,17,163061608,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,47.360388646151186,-122.88630160360863
1N4AZ1CP25,San Francisco,San Francisco,WA,90584,2022,Chevrolet,Volt,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,155.0,0,4,664624886,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,47.86863294120787,-122.87267952590302
1N4AZ1CP26,San Francisco,San Francisco,WA,92016,2022,Nissan,Leaf,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210.0,0,3,519937534,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,46.82145714767222,-122.26377115526553
1N4AZ1CP27,King,Bellevue,WA,96248,2016,Audi,e-tron,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,227.0,0,4,195492139,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,47.606041072820545,-122.86097491839193
1N4AZ1CP28,King,Seattle,WA,95686,2024,Nissan,Leaf,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,193.0,0,30,200310339,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,47.19577468761233,-121.01799592852906
1N4AZ1CP29,Los Angeles,Los Angeles,WA,93178,2017,Chevrolet,Bolt EV,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,147.0,0,21,303548311,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,46.66469068416868,-122.29496740614951
1N4AZ1CP30,Los Angeles,Los Angeles,WA,99367,2015,Tesla,Model X,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,246.0,0,13,819156300,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,46.875749759793486,-121.27686121394694
1N4AZ1CP31,King,Seattle,WA,96533,2024,Ford,Mustang Mach-E,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,164.0,0,34,686813300,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,47.13755199109262,-122.35291465399538
1N4AZ1CP32,Multnomah,Portland,WA,95749,2019,Nissan,Ariya,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,138.0,0,27,790071800,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,46.62988772400779,-122.39673683489085
1N4AZ1CP33,San Francisco,San Francisco,WA,91420,2015,Chevrolet,Bolt EV,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,223.0,0,9,883217739,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,47.26661689731286,-122.82120115284495
1N4AZ1CP34,San Francisco,San Francisco,WA,95555,2017,Chevrolet,Volt,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,223.0,0,22,642496404,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,47.585048630084174,-121.6039341769809
1N4AZ1CP35,Los Angeles,Los Angeles,WA,95600,2015,Ford,Mustang Mach-E,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,210.0,0,48,605460137,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,47.79638676925827,-122.71790069278566
1N4AZ1CP36,King,Seattle,WA,92945,2023,Audi,Q4 e-tron,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,254.0,0,49,443149091,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,47.82762320154328,-122.32038763834545
1N4AZ1CP37,Los Angeles,Los Angeles,WA,92858,2024,Nissan,Leaf,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,250.0,0,9,557031664,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000,47.963862023045785,-121.44713839791825
