VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Vehicle Type,CAFV Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,Census Tract
1N4AZ1CP0,King,Bellevue,WA,95853,2020,Tesla,Model 3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,152,0,12,227847850,POINT (-121.08875734224121 46.38216297368229),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP1,King,Seattle,WA,90880,2022,Audi,Q4 e-tron,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,136,0,12,340158763,POINT (-121.00311176068111 46.50829916547514),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP2,King,Bellevue,WA,99351,2021,Nissan,Ariya,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,188,0,26,294734344,POINT (-121.19303607002986 47.93293584132446),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP3,King,Bellevue,WA,98694,2024,Ford,Mustang Mach-E,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,273,0,32,444710113,POINT (-122.12334302163431 47.015640636056986),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP4,Multnomah,Portland,WA,93258,2024,Ford,F-150 Lightning,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,58,0,15,810665151,POINT (-122.31212611931461 47.355886678737654),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP5,King,Seattle,WA,96231,2020,Nissan,Ariya,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,284,0,23,526107255,POINT (-122.23652059759266 47.733224019652496),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP6,King,Bellevue,WA,91986,2024,Chevrolet,Bolt EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,225,0,19,299145284,POINT (-122.73369902816347 47.2669839685935),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP7,King,Bellevue,WA,99633,2021,Ford,F-150 Lightning,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,90,0,43,102994065,POINT (-122.00963468849682 46.88657534213226),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP8,King,Seattle,WA,95386,2022,Ford,Mustang Mach-E,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,92,0,7,576582262,POINT (-121.97301344735493 47.110065029432974),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP9,Multnomah,Portland,WA,91302,2016,Tesla,Model S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,132,0,8,977391303,POINT (-121.73270775657247 47.04784273618961),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP10,King,Seattle,WA,98844,2022,Tesla,Model X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,136,0,7,867937335,POINT (-122.46582436486001 46.74232242750325),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
